id,title,sub_subject,slug,count
85,"Body, Mind & Health - Fiction",7,body-mind-health-fiction,1745
86,"Business, Work, & Money - Fiction",7,business-work-money-fiction,1741
87,"Character Types - Fiction",7,character-types-fiction,7874
88,"Conflicts - Fiction",7,conflicts-fiction,3634
89,"Crimes - Fiction",7,crimes-fiction,6646
90,"Disasters & Accidents - Fiction",7,disasters-accidents-fiction,839
91,"Family & Friendship - Fiction",7,family-friendship-fiction,10254
92,"Fiction - 2009 Holiday Recommendations",7,fiction-2009-holiday-recommendations,1076
93,"Games & Hobbies - Fiction",7,games-hobbies-fiction,596
94,"Historical Figures - Fiction",7,historical-figures-fiction,2617
95,"Holidays - Fiction",7,holidays-fiction,1196
96,"Humorous Fiction",7,humorous-fiction,4132
97,"Literary Styles & Movements - Fiction",7,literary-styles-movements-fiction,11108
98,"Love & Relationships - Fiction",7,love-relationships-fiction,6359
99,"Motivations - Fiction",7,motivations-fiction,2297
100,"Occupations - Fiction",7,occupations-fiction,9973
